shade_code,color_name,hex_code,L,a,b,lab_source
RAL 140 60 40,Fresh Green,#6A9E5C,60.15,-30.33,29.10,hex
RAL 140 60 50,Parsley Green,#5A9F4D,59.44,-38.28,35.85,hex
RAL 140 60 60,Oregano Green,#4DA241,59.71,-44.97,41.91,hex
RAL 140 60 70,Balloon Green,#3BA234,58.99,-50.99,46.75,hex
RAL 140 70 05,Ginkgo Green,#A5ACA4,69.60,-3.99,3.25,hex
RAL 140 70 10,Wormwood Green,#9FAE9E,69.55,-8.31,6.43,hex
RAL 140 70 20,Dew Green,#97B391,70.08,-16.13,14.24,hex
RAL 140 70 30,Aniseed Leaf Green,#8CB684,69.96,-23.76,21.01,hex
RAL 140 70 40,Sour Green,#84B977,70.13,-30.09,28.09,hex
RAL 140 70 50,Acid Green,#76BB68,69.75,-37.94,35.24,hex
RAL 140 70 60,Drop Green,#69BD5A,69.57,-44.79,41.87,hex
RAL 140 80 05,Willow Green,#C3CABF,80.52,-4.41,4.65,hex
RAL 140 80 10,Pastel Grey Green,#BCCBB9,80.13,-8.44,7.24,hex
RAL 140 80 20,Gio Ponti Green,#B3CEAB,79.99,-15.55,14.43,hex
RAL 140 80 30,Relaxation Green,#A8D19E,79.84,-23.05,20.99,hex
RAL 140 80 40,Dentist Green,#99D590,79.83,-32.31,28.15,hex
RAL 140 85 05,Deadnettle White,#D2DAD0,86.21,-4.51,3.98,hex
RAL 140 85 10,Leek White,#CEDCCA,86.29,-7.97,7.23,hex
RAL 140 85 20,Limestone Slate,#C5E0BD,86.43,-15.32,14.18,hex
RAL 140 85 30,Mint Cocktail Green,#B8E2B0,85.86,-22.92,20.05,hex
RAL 140 90 05,Rosemary White,#DFE6DA,90.48,-4.48,5.03,hex
RAL 140 90 10,Touch Of Green,#DBE9D5,90.84,-8.23,8.13,hex
RAL 140 93 05,Chestnut White,#EAF1E6,94.36,-4.27,4.50,hex
RAL 140-1,,#FAD3A9,86.89,7.79,25.91,hex
RAL 140-2,,#FEDAA6,88.91,5.35,30.25,hex
RAL 140-3,,#FEE3C1,91.62,4.16,20.01,hex
RAL 140-4,,#FDDFBE,90.50,5.44,19.98,hex
RAL 140-5,,#F8E4C8,91.51,2.45,16.15,hex
RAL 140-6,,#E5D2B6,85.06,2.18,16.28,hex
RAL 140-M,,#B09E7E,65.90,1.57,19.16,hex
RAL 150 30 10,Thyme Green,#3D4B3D,30.31,-8.78,6.52,hex
RAL 150 30 20,Moselle Green,#2E4E36,30.15,-17.80,10.59,hex
RAL 150 30 30,Mountain Green,#1E4F2B,29.52,-25.72,16.42,hex
RAL 150 40 10,Felt Green,#526153,39.53,-8.81,6.08,hex
RAL 150 40 20,Firm Green,#47654A,39.82,-17.10,11.84,hex
RAL 150 40 30,Genever Green,#33673F,39.18,-27.14,17.35,hex
RAL 150 40 40,Ink Green,#1C6A35,39.26,-36.11,23.07,hex
RAL 150 40 50,Ireland Green,#006C2E,39.45,-41.53,27.05,hex
RAL 150 50 10,Sage Green Grey,#69796A,49.15,-9.05,6.25,hex
RAL 150 50 20,Korean Mint,#5D7D61,49.32,-17.47,11.64,hex
RAL 150 50 30,Field Green,#538059,49.49,-24.10,16.41,hex
RAL 150 50 40,Celery Green,#3F8653,50.37,-34.31,20.84,hex
RAL 150 50 50,Rich Green,#218845,49.93,-44.23,27.80,hex
RAL 150 50 60,Cold Green,#008B3C,50.44,-49.97,33.04,hex
RAL 150 60 10,Pointed Cabbage Green,#859587,60.10,-8.53,5.46,hex
RAL 150 60 20,Orient Green,#77997D,60.05,-17.61,10.92,hex
RAL 150 60 30,Rosemary Green,#699B72,59.58,-25.52,16.30,hex
RAL 150 60 40,Mosaic Green,#599F68,59.81,-34.36,22.02,hex
RAL 150 60 50,Bouncy Ball Green,#49A462,60.65,-42.04,26.26,hex
RAL 150 60 60,Energy Green,#1CA350,58.99,-52.90,33.38,hex
RAL 150 70 10,Tea Green,#9EAFA0,69.80,-8.82,5.68,hex
RAL 150 70 20,Liebermann Green,#92B498,70.19,-17.12,10.52,hex
RAL 150 70 30,Oilcloth Green,#83BA8E,70.80,-27.02,16.68,hex
RAL 150 70 40,Jade Stone Green,#74BB83,70.10,-34.25,21.52,hex
RAL 150 70 50,Verdigris Coloured,#62BE77,70.00,-42.92,27.63,hex
RAL 150 80 10,Organza Green,#BBCCBD,80.42,-8.58,5.50,hex
RAL 150 80 20,Pastel Mint Green,#ADD0B3,80.32,-17.21,10.58,hex
RAL 150 80 30,Bright Green,#9FD4AA,80.38,-25.46,15.33,hex
RAL 150 80 40,Mother-Of-Pearl Green,#8FD89F,80.43,-34.40,21.07,hex
RAL 150 85 05,Asparagus White,#CED9CF,85.63,-5.54,3.64,hex
RAL 150 85 10,Transparent White,#CBDCCB,86.10,-8.82,6.41,hex
RAL 150 85 20,Pallid Green,#C1E0C1,86.25,-15.99,11.79,hex
RAL 150 90 05,Mineral White,#DCE5D9,89.98,-5.16,4.80,hex
RAL 150 90 10,Alabaster Green,#D7E9D7,90.61,-9.23,6.71,hex
RAL 150 93 05,Quark White,#E7F1E6,94.15,-5.27,4.16,hex
RAL 150-1,,#F7EFE9,94.90,1.66,3.85,hex
RAL 150-2,,#F9EBE3,93.93,3.39,5.57,hex
RAL 150-3,,#EEE1D7,90.29,2.75,6.47,hex
RAL 150-4,,#FBE3D4,91.78,5.83,10.31,hex
RAL 150-5,,#FAE8DC,93.10,4.15,8.03,hex
RAL 150-6,,#F8DFD7,90.62,7.29,7.04,hex
RAL 150-M,,#AB978A,63.86,5.24,9.56,hex
RAL 160 20 05,Beryl Black Green,#2B322D,19.98,-4.23,2.17,hex
RAL 160 20 10,Mussel Green,#24342A,20.04,-9.19,4.22,hex
RAL 160 20 15,Pumpkin Green Black,#183425,19.16,-14.92,6.26,hex
RAL 160 20 20,Opulent Green,#103222,17.95,-17.05,6.56,hex
RAL 160 30 05,Rich Olive,#3E4740,29.16,-5.27,2.97,hex
RAL 160 30 10,Exclusive Green,#38493E,29.29,-9.37,4.39,hex
RAL 160 30 15,Leaf Green,#2F4939,28.55,-13.96,6.47,hex
RAL 160 30 20,Mountain Mint,#254B37,28.65,-18.98,7.80,hex
RAL 160 30 25,Order Green,#1A4C32,28.43,-23.81,10.60,hex
RAL 160 30 30,Troll Green,#014E2E,28.52,-29.94,13.13,hex
RAL 160 30 35,Card Table Green,#00512C,29.58,-31.77,15.76,hex
RAL 160 30 40,Lemon Balm Green,#005228,29.88,-33.01,18.55,hex
RAL 160 40 05,Jasper Green,#57605A,39.80,-4.80,2.23,hex
RAL 160 40 10,Siberian Green,#4E6157,39.34,-9.49,3.32,hex
RAL 160 40 15,Cucumber Green,#466353,39.33,-14.46,5.68,hex
RAL 160 40 20,Serbian Green,#3E644F,39.07,-18.68,7.70,hex
RAL 160 40 25,Black Pine Green,#33654A,38.73,-23.83,10.18,hex
RAL 160 40 30,Pumpkin Green,#286848,39.27,-28.72,12.06,hex
RAL 160 40 35,Jade Mussel Green,#166A45,39.42,-33.82,13.98,hex
RAL 160 40 40,Clover Green,#006C44,39.82,-37.12,15.06,hex
RAL 160 40 45,Frog Green,#00693C,38.60,-37.75,18.13,hex
RAL 160 40 50,Universal Green,#006B38,39.24,-39.35,21.27,hex
RAL 160 40 55,Column Of Oak Green,#006F37,40.64,-41.02,23.62,hex
RAL 160 50 05,Arctic Lichen Green,#6F7872,49.53,-4.61,2.13,hex
RAL 160 50 10,Atlas Cedar Green,#667A6E,49.34,-9.91,4.13,hex
RAL 160 50 15,Stone Cypress Green,#5F7D6C,49.72,-14.51,5.79,hex
RAL 160 50 20,Juniper Green,#567F69,49.71,-19.32,7.46,hex
RAL 160 50 25,Sports Field Green,#4D8064,49.42,-23.84,9.89,hex
RAL 160 50 30,Leisure Green,#438261,49.52,-28.46,11.71,hex
RAL 160 50 35,Adamite Green,#3B845E,49.79,-32.21,13.76,hex
RAL 160 50 40,Metallic Green,#24855B,49.38,-38.13,14.82,hex
RAL 160 50 45,Vital Green,#138859,50.06,-42.00,16.84,hex
RAL 160 50 50,Golf Green,#008854,49.79,-44.42,19.29,hex
RAL 160 50 55,Iceland Green,#008B52,50.77,-45.98,21.71,hex
RAL 160 50 60,Real Turquoise,#008A4C,50.33,-46.82,24.44,hex
RAL 160 60 05,Sandstone Grey Green,#88928C,59.60,-4.81,1.93,hex
RAL 160 60 10,Slate Green,#7F9488,59.41,-9.94,3.84,hex
RAL 160 60 15,Mild Green,#789885,60.02,-15.15,6.36,hex
RAL 160 60 20,Douglas Fir Green,#6F9881,59.36,-19.03,7.61,hex
RAL 160 60 25,Practice Green,#679A7C,59.39,-23.71,10.41,hex
RAL 160 60 30,Memphis Green,#5E9D7B,59.82,-28.19,11.51,hex
RAL 160 60 35,Advertising Green,#53A079,60.21,-33.16,13.11,hex
RAL 160 60 40,Hunter Green,#45A074,59.59,-37.74,14.95,hex
RAL 160 60 45,Linoleum Green,#3AA372,60.17,-41.82,16.81,hex
RAL 160 60 50,Parakeet Green,#1AA36D,59.45,-47.52,18.48,hex
RAL 160 60 55,Emerald Light Green,#00A267,58.81,-50.05,20.87,hex
RAL 160 60 58,Alhambra Green,#00A465,59.42,-51.21,22.79,hex
RAL 160 70 05,Greenish Grey,#A3AEA7,70.07,-5.20,2.26,hex
RAL 160 70 10,Weak Green,#99AFA3,69.52,-9.99,3.58,hex
RAL 160 70 15,Andean Slate,#90B19D,69.33,-15.30,6.53,hex
RAL 160 70 20,Ceramic Green,#8AB39B,69.48,-18.74,7.79,hex
RAL 160 70 25,Water Green,#81B89A,70.37,-24.37,9.54,hex
RAL 160 70 30,Mountain Lake Green,#75B996,69.95,-29.34,11.05,hex
RAL 160 70 35,American Green,#6ABA92,69.65,-33.79,12.73,hex
RAL 160 70 40,Techno Turquoise,#60BD8E,70.06,-38.64,15.41,hex
RAL 160 70 45,Garish Green,#51BF8A,70.07,-43.88,17.50,hex
RAL 160 70 50,Malachite Green,#44C089,69.99,-47.12,17.87,hex
RAL 160 80 05,Fog Green,#BCC8C1,79.53,-5.41,2.08,hex
RAL 160 80 10,Matte Jade Green,#B5CBBD,79.73,-10.11,4.46,hex
RAL 160 80 15,Sun Yellow,#ABCEBA,79.81,-15.56,6.10,hex
RAL 160 80 20,Feather Green,#A3D0B6,79.77,-19.95,8.11,hex
RAL 160 80 25,Menthol Green,#9CD2B4,79.87,-23.56,9.27,hex
RAL 160 80 30,Silk Green,#94D6B2,80.52,-28.38,11.19,hex
RAL 160 85 05,Light Green,#CCD8D0,85.25,-5.52,2.54,hex
RAL 160 85 10,Micaceous Green,#C5DACC,85.19,-9.64,4.50,hex
RAL 160 85 15,Moonstone Green,#BDDDC8,85.35,-14.56,6.79,hex
RAL 160 90 05,Watercolour White,#DBE5DB,89.96,-5.15,3.71,hex
RAL 160 90 10,Moonlight Green,#D2E8D8,90.03,-10.22,5.31,hex
RAL 160 90 15,Glacial Water Green,#C9EAD4,89.87,-14.92,7.08,hex
RAL 160 93 05,Mountain Crystal Silver,#E2EFE8,93.33,-5.57,1.89,hex
RAL 160-1,,#E3E1EC,89.97,2.67,-5.11,hex
RAL 160-2,,#E7E2E8,90.42,2.76,-2.32,hex
RAL 160-3,,#EDE8E8,92.37,1.68,0.60,hex
RAL 160-4,,#EEE1E2,90.56,4.59,1.10,hex
RAL 160-5,,#EFE4E0,91.33,3.05,3.28,hex
RAL 160-6,,#ECE4E9,91.33,3.58,-1.47,hex
RAL 160-M,,#ADA6B5,69.11,5.37,-6.80,hex
RAL 170 20 10,Deep Green,#1C3129,18.38,-10.68,2.46,hex
RAL 170 20 15,Intense Green,#123328,18.58,-15.38,3.37,hex
RAL 170 20 20,Coach Green,#003527,18.77,-20.68,4.24,hex
RAL 170 20 25,Off-Road Green,#003723,19.45,-22.82,7.89,hex
RAL 170 30 10,Garnet Black Green,#354A41,29.50,-10.41,2.74,hex
RAL 170 30 15,Dark Green,#284B3E,28.98,-16.27,3.81,hex
RAL 170 30 20,Thistle Green,#1E4B3B,28.44,-19.99,4.91,hex
RAL 170 30 25,Raspberry Leaf Green,#044F3B,29.24,-26.55,5.96,hex
RAL 170 30 30,Chrysocolla Dark Green,#004F39,29.13,-27.62,7.05,hex
RAL 170 30 35,Trapper Green,#005239,30.23,-28.97,8.60,hex
RAL 170 30 40,Permanent Green,#005437,30.92,-30.37,10.80,hex
RAL 170 40 10,Chalcedony Green,#4B6057,38.81,-10.02,2.53,hex
RAL 170 40 15,Palace Green,#426255,38.81,-14.84,3.69,hex
RAL 170 40 20,Plantain Green,#356554,39.08,-20.85,4.59,hex
RAL 170 40 25,Ore Mountains Green,#2B6551,38.58,-24.33,5.65,hex
RAL 170 40 30,Tractor Green,#1C6A51,39.83,-29.89,7.37,hex
RAL 170 40 35,Victoria Green,#006A4D,39.31,-34.03,9.00,hex
RAL 170 40 40,Device Green,#006B4D,39.67,-34.46,9.49,hex
RAL 170 40 45,Environmental Green,#006C4B,39.97,-35.40,11.11,hex
RAL 170 40 50,Vegan Green,#006C47,39.88,-36.40,13.37,hex
RAL 170 50 10,Bournonite Green,#637A72,49.24,-10.14,1.60,hex
RAL 170 50 15,Fuchsite Green,#5B7E70,49.88,-15.57,3.64,hex
RAL 170 50 20,Blackberry Leaf Green,#507F6D,49.48,-20.36,4.75,hex
RAL 170 50 25,Tourmaline Blue,#46816C,49.60,-24.60,5.44,hex
RAL 170 50 30,Dream Green,#35836A,49.53,-30.35,6.42,hex
RAL 170 50 35,Accent Green Blue,#208468,49.26,-35.12,7.13,hex
RAL 170 50 40,Spectral Green,#008664,49.46,-39.79,9.68,hex
RAL 170 50 45,Mallard Green,#008764,49.79,-40.21,10.15,hex
RAL 170 50 50,Chagall Green,#008B62,51.09,-42.34,13.11,hex
RAL 170 50 55,Absinthe Turquoise,#008A60,50.71,-42.43,13.73,hex
RAL 170 60 10,Quantum Green,#7C948B,59.28,-10.38,1.92,hex
RAL 170 60 15,Bitter Clover Green,#769789,59.70,-14.48,3.62,hex
RAL 170 60 20,Cyprus Green,#699A88,59.79,-20.51,4.22,hex
RAL 170 60 25,Succulent Green,#5E9B86,59.47,-24.79,4.82,hex
RAL 170 60 30,Vibrant Green,#509D83,59.39,-30.28,6.32,hex
RAL 170 60 35,Klimt Green,#3FA282,60.34,-36.73,8.16,hex
RAL 170 60 40,Persian Green,#2CA180,59.51,-40.06,8.03,hex
RAL 170 60 45,Sport Green,#00A27D,59.27,-44.84,9.30,hex
RAL 170 60 50,Active Green,#00A67E,60.58,-46.20,10.61,hex
RAL 170 70 10,Lovage Green,#98B1A6,70.09,-10.80,2.74,hex
RAL 170 70 15,Chrysopal Light Green,#8FB2A3,69.70,-14.96,3.76,hex
RAL 170 70 20,Source Green,#84B6A2,70.15,-20.77,4.88,hex
RAL 170 70 25,Orient Mosaic Green,#7CB8A1,70.27,-24.45,5.54,hex
RAL 170 70 30,Mint Cold Green,#6CBBA0,70.36,-30.69,6.11,hex
RAL 170 70 35,Emerald Green,#5FBB9C,69.73,-34.93,7.33,hex
RAL 170 70 40,Expressionism Green,#52BC9A,69.53,-38.81,8.08,hex
RAL 170 80 10,Fluorite Blue,#B4CCC2,80.06,-10.01,2.25,hex
RAL 170 80 15,Swimming Pool Green,#A8CFC0,80.04,-15.87,3.20,hex
RAL 170 80 20,Sky Green,#9FD3BF,80.58,-20.93,4.45,hex
RAL 170 80 25,Larimar Green,#93D3BC,79.85,-25.20,4.91,hex
RAL 170 85 05,Silicate Light Turquoise,#CDDAD3,85.92,-5.66,1.93,hex
RAL 170 85 10,Topaz Green,#C5DDD0,86.07,-10.43,3.67,hex
RAL 170 85 15,Refrigerator Green,#BADFCD,85.82,-15.61,4.79,hex
RAL 170 85 20,Crystal Glass Green,#B1E2CB,86.03,-20.36,6.09,hex
RAL 170 90 05,Crystal Salt White,#D9E5DD,89.86,-5.46,2.51,hex
RAL 170 90 10,Turquoise White,#CFE9DC,90.19,-10.98,3.42,hex
RAL 170 93 05,Snow Crystal Green,#E4F0E8,93.73,-5.41,2.49,hex
RAL 170-1,,#C7C9D0,81.00,0.63,-3.72,hex
RAL 170-2,,#A6ADBD,70.64,0.78,-9.00,hex
RAL 170-3,,#BAC8DA,80.07,-1.13,-10.56,hex
RAL 170-4,,#CEDBEC,86.92,-1.02,-9.80,hex
RAL 170-5,,#C3C6D6,80.09,2.05,-8.31,hex
RAL 170-6,,#C6C5D6,80.06,3.57,-8.33,hex
RAL 170-M,,#A7A8B9,69.27,3.02,-8.83,hex
RAL 180 20 05,Pitch Green,#283330,20.17,-5.41,0.36,hex
RAL 180 20 10,Lacquer Green,#1B322C,18.78,-10.81,0.97,hex
RAL 180 20 15,Fence Green,#09332C,18.40,-16.21,0.32,hex
RAL 180 20 20,Myrtle Green,#00352C,18.92,-19.05,1.05,hex
RAL 180 30 05,Amazon Green,#3F4A47,30.42,-5.12,0.30,hex
RAL 180 30 10,Rich Grey Turquoise,#324943,29.03,-10.42,0.73,hex
RAL 180 30 15,Blackboard Green,#274C43,29.43,-15.81,1.23,hex
RAL 180 30 20,Swedish Green,#184D43,29.18,-20.18,0.80,hex
RAL 180 30 25,Fjord Green,#005043,29.77,-25.10,1.60,hex
RAL 180 30 30,Urban Green,#005042,29.74,-25.41,2.19,hex
RAL 180 30 35,Jungle Green,#005341,30.80,-27.14,4.36,hex
RAL 180 40 05,Earth Green,#545F5B,39.28,-5.14,0.84,hex
RAL 180 40 10,Pine Green,#4A635C,39.84,-10.95,0.94,hex
RAL 180 40 15,Forest Greenery,#3E645B,39.40,-15.80,0.83,hex
RAL 180 40 20,Sea Green,#30675C,39.75,-21.18,0.65,hex
RAL 180 40 25,Eucalyptus Green,#1E675A,39.09,-25.62,0.84,hex
RAL 180 40 30,Fresh Ivy Green,#006A5B,39.69,-30.03,1.04,hex
RAL 180 40 35,Chrysocolla Medium Green,#006B57,39.92,-31.68,3.81,hex
RAL 180 40 40,Poster Green,#006B56,39.89,-31.97,4.37,hex
RAL 180 40 45,Teal Dark Green,#006D57,40.61,-32.58,4.80,hex
RAL 180 50 05,Dusk Green,#6E7A77,50.18,-5.09,0.12,hex
RAL 180 50 10,Refreshing Green,#617A74,49.16,-10.40,0.29,hex
RAL 180 50 15,Dull Turquoise,#557D73,49.30,-16.30,0.99,hex
RAL 180 50 20,Azurite Water Green,#497F73,49.29,-21.00,0.91,hex
RAL 180 50 25,Copper Mineral Green,#398174,49.29,-25.88,0.24,hex
RAL 180 50 30,Glass Green,#238472,49.58,-32.00,1.76,hex
RAL 180 50 35,Summer Turquoise,#008572,49.48,-35.50,1.56,hex
RAL 180 50 40,Christmas Green,#008571,49.45,-35.79,2.10,hex
RAL 180 50 45,Industrial Turquoise,#008A70,51.09,-38.26,5.04,hex
RAL 180 50 50,Ocean Green,#008A6F,51.06,-38.54,5.59,hex
RAL 180 60 05,Marble Green-Grey,#85928F,59.46,-5.29,-0.01,hex
RAL 180 60 10,Tile Green,#7A958E,59.51,-10.98,0.54,hex
RAL 180 60 15,Copper Roof Green,#6F978E,59.40,-15.69,0.29,hex
RAL 180 60 20,Sage Green,#639A8E,59.63,-20.96,0.55,hex
RAL 180 60 25,Petrol Green,#549B8C,59.18,-26.10,0.94,hex
RAL 180 60 30,Dioptase Green,#439E8D,59.50,-31.29,0.76,hex
RAL 180 60 35,Stamp Pad Green,#2EA18C,59.85,-36.66,1.78,hex
RAL 180 60 40,Light Turquoise,#00A38C,59.97,-41.22,1.87,hex
RAL 180 60 45,Caribbean Green,#00A58C,60.61,-42.08,2.80,hex
RAL 180 60 50,Brilliant Turquoise,#00A68B,60.90,-42.78,3.79,hex
RAL 180 70 05,Feldspar Silver,#A0ADA9,69.63,-5.33,0.49,hex
RAL 180 70 10,Delicate Green,#93B0A9,69.55,-11.35,0.27,hex
RAL 180 70 15,Silicate Green,#88B2A9,69.43,-15.97,-0.00,hex
RAL 180 70 20,Mint Bonbon Green,#7DB6A8,69.92,-21.62,1.20,hex
RAL 180 70 25,Glacial Green,#6FB7A8,69.52,-26.11,0.53,hex
RAL 180 70 30,Bath Turquoise,#62BAA8,69.85,-30.91,0.95,hex
RAL 180 70 35,Mountain Lake Azure,#4CBCA7,69.68,-36.85,1.15,hex
RAL 180 70 40,Pure Cyan,#36BFA8,70.08,-41.49,1.13,hex
RAL 180 80 05,Aragonite White,#BCC9C3,79.84,-5.56,1.47,hex
RAL 180 80 10,Light Teal,#B1CCC5,79.93,-10.42,0.43,hex
RAL 180 80 15,Whirlpool Green,#A7D0C5,80.38,-15.70,1.01,hex
RAL 180 80 20,Opal Turquoise,#96D1C3,79.63,-21.84,0.86,hex
RAL 180 80 25,Light Capri Green,#8BD4C3,79.91,-26.48,1.20,hex
RAL 180 80 30,Tender Turquoise,#82D9C5,80.96,-30.87,1.62,hex
RAL 180 85 05,Sea Haze Grey,#CBD9D4,85.54,-5.63,0.84,hex
RAL 180 85 10,Tierra Del Fuego Sea Green,#C2DDD3,85.95,-10.85,1.88,hex
RAL 180 85 15,Pale Mountain Lake Turquoise,#BAE1D3,86.50,-15.46,2.62,hex
RAL 180 85 20,Coral Green,#ABE2CF,85.78,-21.43,3.58,hex
RAL 180 90 05,Transparent Green,#D9E7E2,90.50,-5.57,0.82,hex
RAL 180 90 10,Ice Water Green,#CDEBE1,90.70,-11.70,1.54,hex
RAL 180 93 05,Arctic White,#E5F1EC,94.15,-4.87,1.04,hex
RAL 180-1,,#AEBCC6,75.48,-2.79,-6.68,hex
RAL 180-2,,#B9CDDD,81.40,-3.45,-10.20,hex
RAL 180-3,,#C7DBEB,86.41,-3.44,-10.08,hex
RAL 180-4,,#C9E1EC,88.12,-5.71,-8.04,hex
RAL 180-5,,#C7DDE1,86.65,-6.50,-4.45,hex
RAL 180-6,,#DBE9EB,91.39,-4.26,-2.57,hex
RAL 180-M,,#96A4A9,66.44,-3.89,-4.27,hex
RAL 190 20 20,Night Turquoise,#003833,20.31,-18.21,-1.69,hex
RAL 190 30 15,Carriage Green,#254D48,29.83,-15.53,-1.40,hex
RAL 190 30 20,Stockade Green,#104F4A,29.90,-20.45,-2.66,hex
RAL 190 30 25,Action Green,#00504B,30.02,-22.47,-3.15,hex
RAL 190 30 30,Myrtle Deep Green,#00524C,30.77,-23.16,-2.68,hex
RAL 190 30 35,Plankton Green,#00534C,31.13,-23.66,-2.15,hex
RAL 190 40 10,Mud Green,#49625E,39.51,-10.25,-0.77,hex
RAL 190 40 15,Moor Pond Green,#3C6461,39.47,-14.84,-2.75,hex
RAL 190 40 20,Lush Green,#296661,39.30,-20.89,-3.10,hex
RAL 190 40 25,Butterfly Green,#0B6863,39.36,-25.72,-4.31,hex
RAL 190 40 30,Fashion Blue,#006B64,40.30,-27.69,-3.54,hex
RAL 190 40 35,Office Blue Green,#006C65,40.68,-27.85,-3.60,hex
RAL 190 40 40,Iguana Green,#006E66,41.39,-28.50,-3.15,hex
RAL 190 40 45,Dark Teal,#007167,42.44,-29.62,-2.20,hex
RAL 190 50 10,Storm Green,#617C78,49.87,-10.61,-1.02,hex
RAL 190 50 15,Dark Turquoise,#547E79,49.72,-15.70,-1.93,hex
RAL 190 50 20,Fir Blue,#46807B,49.70,-20.28,-3.21,hex
RAL 190 50 25,Apatite Blue,#31827B,49.55,-26.12,-3.52,hex
RAL 190 50 30,Egyptian Green,#08847C,49.51,-31.60,-4.26,hex
RAL 190 50 35,Ornamental Turquoise,#00867D,50.13,-32.66,-3.92,hex
RAL 190 50 40,Eyeshadow Turquoise,#008980,51.21,-33.13,-4.08,hex
RAL 190 50 45,Clear Turquoise,#008A81,51.56,-33.29,-4.14,hex
RAL 190 60 10,Subtle Turquoise,#7A9693,59.94,-10.43,-1.68,hex
RAL 190 60 15,Pale Verdigris,#6F9892,59.81,-15.31,-1.38,hex
RAL 190 60 20,Goose Pond Green,#639B95,60.13,-19.79,-2.69,hex
RAL 190 60 25,Tourmaline Turquoise,#4F9E96,60.17,-26.28,-3.29,hex
RAL 190 60 30,Baltic Green,#3AA098,60.16,-30.99,-4.52,hex
RAL 190 60 35,Ceramic Blue Turquoise,#16A29A,60.20,-35.66,-5.67,hex
RAL 190 60 40,Baltic Turquoise,#00A49A,60.68,-37.61,-4.98,hex
RAL 190 60 45,Tyrolite Blue-Green,#00A499,60.65,-37.91,-4.46,hex
RAL 190 70 10,Marble Green,#95B0AD,69.79,-9.85,-1.57,hex
RAL 190 70 15,Jade Green,#89B3AD,69.88,-15.30,-1.54,hex
RAL 190 70 20,Spring Water Turquoise,#7AB5AE,69.64,-20.62,-2.53,hex
RAL 190 70 25,Florida Turquoise,#6BB8B1,69.88,-25.49,-3.91,hex
RAL 190 70 30,Hygiene Green,#5DBCB4,70.58,-30.03,-4.58,hex
RAL 190 70 35,Arctic Green,#45BCB3,69.81,-34.94,-5.26,hex
RAL 190 80 10,Andean Opal Green,#AFCDC7,80.12,-11.19,-0.38,hex
RAL 190 80 15,Cold Turquoise,#A5D0CB,80.42,-15.08,-2.17,hex
RAL 190 80 20,Teal Blue,#97D1CB,79.89,-19.80,-3.03,hex
RAL 190 80 25,Pool Green,#88D4CC,80.00,-25.27,-3.50,hex
RAL 190 85 05,Morning Dew White,#C6DBD6,85.77,-7.94,0.07,hex
RAL 190 85 10,Bath Salt Green,#BBDED7,85.86,-12.84,-0.41,hex
RAL 190 85 15,Capri Water Blue,#ABE2D6,85.96,-20.00,0.14,hex
RAL 190 85 20,Horizon Blue,#9DE5D8,86.09,-25.11,-0.81,hex
RAL 190 90 05,Cool White,#DAE6E2,90.32,-4.73,0.56,hex
RAL 190 90 10,Source Blue,#CDEAE5,90.54,-10.43,-0.78,hex
RAL 190 93 05,Egyptian White,#E5F1EC,94.15,-4.87,1.04,hex
RAL 190-1,,#A5DADF,83.69,-15.82,-8.00,hex
RAL 190-2,,#B9E6F2,88.60,-11.87,-10.60,hex
RAL 190-3,,#C0DEE1,86.45,-9.24,-4.79,hex
RAL 190-4,,#BDDAD7,84.93,-10.16,-1.76,hex
RAL 190-5,,#D4E5E7,89.77,-5.25,-2.91,hex
RAL 190-6,,#A3C1BF,75.88,-10.48,-2.38,hex
RAL 190-M,,#92B4B2,70.85,-11.88,-2.80,hex
RAL 200 20 05,Concealed Green,#263130,19.32,-4.91,-0.91,hex
RAL 200 20 10,Dark Pine Green,#193232,18.88,-9.65,-3.03,hex
RAL 200 20 15,Roof Tile Green,#043132,17.70,-13.90,-4.87,hex
RAL 200 20 20,Shrub Green,#003636,19.66,-16.01,-4.70,hex
RAL 200 20 23,Customs Green,#003839,20.53,-16.01,-5.44,hex
RAL 200 30 05,Darkness Green,#3A4645,28.67,-5.07,-1.02,hex
RAL 200 30 10,Tree Bark Green,#304B4A,29.80,-10.43,-2.67,hex
RAL 200 30 15,Hornblende Green,#234E4D,30.26,-15.13,-3.99,hex
RAL 200 30 20,Malachite Blue Turquoise,#0E4F4F,30.03,-19.05,-5.67,hex
RAL 200 30 25,Antique Turquoise,#004E4E,29.41,-20.39,-5.99,hex
RAL 200 30 30,Wool Turquoise,#005152,30.62,-20.56,-6.73,hex
RAL 200 30 33,Ice Dark Turquoise,#005456,31.83,-20.74,-7.46,hex
RAL 200 40 05,Calcite Grey Green,#52605F,39.56,-5.59,-1.24,hex
RAL 200 40 10,Brochantite Green,#486262,39.57,-9.59,-3.14,hex
RAL 200 40 15,Pyrite Green,#3A6364,39.14,-14.04,-5.09,hex
RAL 200 40 20,Dusky Alpine Blue,#296767,39.83,-19.62,-5.98,hex
RAL 200 40 25,Bath Green,#0A696A,39.93,-24.00,-7.75,hex
RAL 200 40 30,Mayan Blue,#006B6C,40.57,-25.04,-8.02,hex
RAL 200 40 35,Byzantine Blue,#006C6E,40.98,-24.87,-8.62,hex
