id,product_id,carrier_resin,material_form,appearance_colour,hardness,moisture_content,antioxidant_content,ash_content,specific_gravity,bulk_density,caco3_content,tio2_percentage,mfr,weather_fastness,light_fastness,colour_migration,dispersion,melting_temperature,heat_stability,toxicity,spec_compliance,higher_olefin_constituent,cbc,carbon_type,volatile_matter_content,toluene_extract,let_down_ratio,ral_pantone_ci
105,UD10012,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,UD10013,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,UD10014,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,85004,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,20013,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,30023,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,85007,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,85005,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10144,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,UD10021,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20007,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,41510,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,UD10021,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,62501,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,32503,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,30149,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,32501,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,41511,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,24504,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,UD10022,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,34502,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,94501,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,30024,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,60013,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,60016,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,30026,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,91506,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,83501,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,41307,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,91095,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,61001,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,40002,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,UD10026,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,50003,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,85007,,,,,,,,,,,,,,,,,,,,,,,,,,,
