id,name,selling_price,remark,date_updated,alphacode,slf_no,ral_shade,pantone_shade,is_final_good
61640,BLUE,7819.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61642,BLUE,4802.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61645,BLUE,8222.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61646,BLUE,8205.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61647,BLUE,1054.5,,2025-03-25,"['CBULSO', 'CBULSF', 'CBULSM', 'CBULWO', 'CBULWF', 'CBULWM', 'CBULOO']",,,,False
71027,ORANGE,4607.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71028,ORANGE,1259.5,,2025-03-25,"['CORCSO', 'CORCSF', 'CORCSM', 'CORCWO', 'CORCWF', 'CORCWM', 'CORCOO']",,,,False
71033,ORANGE,1862.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71035,ORANGE,4232.39,,2025-03-25,"['CORLSO', 'CORLSF', 'CORLSM', 'CORLWO', 'CORLWF', 'CORLWM', 'CORLOO']",,,,False
71201,ORANGE,2242.39,,2025-03-25,"['CORHSO', 'CORHSF', 'CORHSM', 'CORHWO', 'CORHWF', 'CORHWM', 'CORHOO']",,,,False
71257,ORANGE,1057.39,,2025-03-25,"['CORLSO', 'CORLSF', 'CORLSM', 'CORLWO', 'CORLWF', 'CORLWM', 'CORLOO']",,,,False
61654,BLUE,1432.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61656,BLUE,8458.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61657,BLUE,8205.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
71034,ORANGE,2124.5,,2026-02-13,"['CORLOO', 'CORLSF', 'CORLSM', 'CORLSO', 'CORLWF', 'CORLWM', 'CORLWO']",,,,False
61601,BLUE,8227.39,,2025-11-10,"['CBUHOO', 'CBUHSF', 'CBUHSM', 'CBUHSO', 'CBUHWF', 'CBUHWM', 'CBUHWO']",,,,False
61633,BLUE,1025.5,,2025-11-10,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",,,,False
61533,BLUE,4826.11,,2025-11-26,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",,,,False
61635,BLUE,4320.5,,2025-12-20,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",,,,False
61638,BLUE,4872.5,,2026-01-30,"['CBUCOO', 'CBUCSF', 'CBUCSM', 'CBUCSO', 'CBUCWF', 'CBUCWM', 'CBUCWO']",,,,False
61658,BLUE,4356.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61699,BLUE,8205.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61706,BLUE,1588.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61716,BLUE,857.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61717,BLUE,1603.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61719,BLUE,1492.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61720,BLUE,1663.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61722,BLUE,1187.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61723,BLUE,4185.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61724,BLUE,1632.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61725,BLUE,1415.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61726,BLUE,3285.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61728,BLUE,1415.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
61730,BLUE,1798.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61731,BLUE,1678.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61732,BLUE,1262.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61733,BLUE,1023.5,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61735,BLUE,1504.11,,2025-03-25,"['CBUCSO', 'CBUCSF', 'CBUCSM', 'CBUCWO', 'CBUCWF', 'CBUCWM', 'CBUCOO']",,,,False
61736,BLUE,1006.39,,2025-03-25,"['CBUHSO', 'CBUHSF', 'CBUHSM', 'CBUHWO', 'CBUHWF', 'CBUHWM', 'CBUHOO']",,,,False
