rawmaterialid,rawmaterialname,available_stocks,particulars_name,last_updated
RM1631501,,75.0,PVC-RED-31501,2025-09-29
RM1631502,,275.0,PVC-RED-31502,2025-09-29
RM1631504,,300.0,PVC-RED-31504,2025-09-29
RM1631513,,554.0,PVC-RED-31513,2025-09-29
RM1631516,,12.0,PVC-RED-31516,2025-09-29
RM1631519,,33.0,PVC-RED-31519,2025-09-29
RM1631525,,11.0,PVC-RED-31525,2025-09-29
RM1631531,,26.0,PVC-RED-31531,2025-09-29
RM1631550,,81.0,PVC-RED -31550,2025-09-29
RM1631562,,475.0,PVC-RED-31562,2025-09-29
RM1631564,,85.0,PVC-RED-31564,2025-09-29
RM1631565,,249.0,PVC-RED-31565,2025-09-29
RM1631601,,83.0,PVC-RED-31601,2025-09-29
RM1631727,,94.0,PVC-RED-31727,2025-09-29
RM1631728,,79.0,PVC-RED-31728,2025-09-29
RM1631901,,21.0,PVC-RED-31901,2025-09-29
RM1635140,,233.0,PVC-RED-35140,2025-09-29
RM1635141,,521.0,PVC-RED -35141,2025-09-29
RM1631510,,304.0,PVC-RED-MEHROON-31510,2025-09-29
RM1631511,,25.0,PVC-RED-SH-31511,2025-09-29
RM166001,,43.0,PVC-TP-BLUE-6001,2025-09-29
RM166002,,25.0,PVC-TP-BLUE-6002,2025-09-29
RM165201,,50.0,PVC-TP-ORANGE-5201,2025-09-29
RM165102,,4.0,PVC-TP-PINK-5102,2025-09-29
RM165001,,25.0,PVC-TP-RED-5001,2025-09-29
RM161001,,4.0,PVC-TP-VOILET-1001,2025-09-29
RM1600120,,41.0,PVC-UV-ADDITIVE-00120,2025-09-29
RM1681002,,325.0,PVC-VIOLET-81002,2025-09-29
RM1681009,,32.0,PVC-VIOLET-81009,2025-09-29
RM1681010,,50.0,PVC-VIOLET-81010,2025-09-29
RM1681013,,36.0,PVC-VIOLET-81013,2025-09-29
RM1681016,,84.0,PVC-VIOLET-81016,2025-09-29
RM1681033,,41.0,PVC-VIOLET-81033,2025-09-29
RM1681302,,8.0,PVC-VIOLET-81302,2025-09-29
RM1681303,,8.0,PVC-VIOLET-81303,2025-09-29
RM1681501,,144.0,PVC-VIOLET-81501,2025-09-29
RM1681503,,14.0,PVC-VIOLET-81503,2025-09-29
RM1681505,,225.0,PVC-VIOLET-81505,2025-09-29
RM1681513,,225.0,PVC-VIOLET-81513,2025-09-29
RM1681000,,288.0,PVC-VOILET-81000,2025-09-29
RM1681035,,121.0,PVC-VOILET-81035,2025-09-29
RM1621104,,47.0,PVC-WHITE-21104,2025-09-29
RM1621105,,231.0,PVC-WHITE-21105,2025-09-29
RM1621106,,427.0,PVC-WHITE-21106,2025-09-29
RM1621107,,323.0,PVC-WHITE-21107,2025-09-29
RM1621311,,153.0,PVC-WHITE-21311,2025-09-29
RM1621314,,373.0,PVC-WHITE-21314,2025-09-29
RM1621315,,25.0,PVC-WHITE-21315,2025-09-29
RM1621329,,478.0,PVC-WHITE-21329,2025-09-29
RM1621501,,398.0,PVC-WHITE-21501,2025-09-29
RM1621516,,1348.0,PVC-WHITE-21516,2025-09-29
RM1621517,,436.0,PVC-WHITE-21517,2025-09-29
RM1621518,,271.0,PVC-WHITE-21518,2025-09-29
RM1621520,,8.0,PVC-WHITE-21520,2025-09-29
RM1621521,,16.0,PVC-WHITE-21521,2025-09-29
RM1621523,,482.0,PVC-WHITE-21523,2025-09-29
RM1621525,,548.0,PVC-WHITE-21525,2025-09-29
RM1621529,,15.0,PVC-WHITE-21529,2025-09-29
RM1621582,,16.0,PVC-WHITE-21582,2025-09-29
RM1621601,,0.0,PVC-WHITE-21601,2025-09-29
RM1651006,,15.0,PVC-YELLOW-51006,2025-09-29
RM1651007,,171.0,PVC-YELLOW-51007,2025-09-29
RM1651008,,133.0,PVC-YELLOW-51008,2025-09-29
RM1651009,,78.0,PVC-YELLOW-51009,2025-09-29
RM1651012,,139.0,PVC-YELLOW-51012,2025-09-29
RM1651231,,132.0,PVC-YELLOW-51231,2025-09-29
RM1651232,,240.0,PVC-YELLOW-51232,2025-09-29
RM1651243,,358.0,PVC-YELLOW-51243,2025-09-29
RM1651341,,575.0,PVC-YELLOW-51341,2025-09-29
RM1651351,,100.0,PVC-YELLOW-51351,2025-09-29
RM1651352,,47.0,PVC-YELLOW-51352,2025-09-29
RM1651361,,25.0,PVC-YELLOW-51361,2025-09-29
RM1651365,,1.0,PVC-YELLOW-51365,2025-09-29
RM1651441,,25.0,PVC-YELLOW-51441,2025-09-29
RM1651501,,319.0,PVC-YELLOW-51501,2025-09-29
RM1651503,,1431.0,PVC-YELLOW-51503,2025-09-29
RM1651507,,174.0,PVC-YELLOW-51507,2025-09-29
RM1651508,,50.0,PVC-YELLOW-51508,2025-09-29
RM1651509,,16.0,PVC-YELLOW-51509,2025-09-29
RM1651510,,6.0,PVC-YELLOW-51510,2025-09-29
RM1651512,,25.0,PVC-YELLOW-51512,2025-09-29
RM1651601,,20.0,PVC-YELLOW-51601,2025-09-29
RM16151,,8.0,PVC-YELLOW-MT-151,2025-09-29
RM1624010,,3.0,TPU-WHITE-24010,2025-09-29
RM1653000,,3.0,TPU-YELLOW-53000,2025-09-29
RM1660062,,118.0,XLPE-BLUE-60062,2025-09-29
RM1660160,,17.0,XLPE-BLUE-60160,2025-09-29
RM1615069,,100.0,XLPE-GREY-15069,2025-09-29
RM1670000,,50.0,XLPE-ORANGE-70000,2025-09-29
RM1630116,,0.0,XLPE-RED-30116,2025-09-29
RM1610225,,125.0,ZHFR-BLACK-10225,2025-09-29
RM1640071,,100.0,ZHFR-GREEN-40071,2025-09-29
RM1602,,6.0,ZHFR-IN-02,2025-09-29
RM1630065,,50.0,ZHFR-RED-30065,2025-09-29
RM1601,,6.0,ZHFR-SH-01,2025-09-29
RM1650099,,90.0,ZHFR-YELLOW-50099,2025-09-29
RM101,ZS,112.0,ZS,2025-09-29
RM1201,CMB2,125.0,CMB2,2025-09-29
