rawmaterialid,rawmaterialname,current_price,current_price_date,chemical_name,last_price,last_price_date,remarks,type,compliance
RM9900,X- PG MIX (1/100) RW BW 668,120.0,,PIGMENT MIX,,,,PG,REACH
RM1101,BS002,41.0,,BASE,,,,RM,ROHS1
RM1301,BLACK MB 11204,,,TONER MB,,,,PG,REACH
RM1106,BS513,87.0,,BASE,,,,RM,REACH
RM1105,BS512,67.0,,BASE,,,,RM,REACH
RM9606,X- PG MIX (1/100) UMB,121.0,,PIGMENT MIX,,,,PG,REACH
RM9400,X- PG MIX (1/100) GR,123.0,,PIGMENT MIX,,,,PG,REACH
RM1008,DMB YEL 13,290.0,,DMB,,,,PG,NON-R
RM1014,DMB PB15-SD BU2633,282.0,,DMB,,,,PG,REACH
RM1303,BLACK MB 10144,,,TONER MB,,,,PG,REACH
RM986,SOLVENT BLUE 45,1650.0,2025-12-19,PIGMENT DYES,1650.0,2025-12-19,,PG,NON-R
RM1011,DMB YEL 143,253.0,,DMB,,,,PG,REACH
RM1015,DMB PB15:1-SD BU2749,291.0,,DMB,,,,PG,REACH
RM1016,DMB PG7-MG GR,252.0,,DMB,,,,PG,NON-R
RM651,SOLVENT BLUE 45,1650.0,2025-12-20,PIGMENT DYES,1650.0,2025-12-20,,PG,NON-R
RM1104,BS511,64.0,,BASE,,,,RM,NON-R
RM987,SOLVENT BLUE 35,750.0,2025-12-19,PIGMENT DYES,750.0,2025-12-19,,PG,NON-R
RM9602,X- PG MIX (1/100) BU 2749,124.0,,PIGMENT MIX,,,,PG,REACH
RM652,SOLVENT BLUE 35,750.0,2025-12-20,PIGMENT DYES,750.0,2025-12-20,,PG,NON-R
RM1203,CMB4,145.0,,COMBO,,,,RM,REACH
RM1010,DMB YEL 114,320.0,,DMB,,,,PG,REACH
RM1107,BS601,76.0,,BASE,,,,RM,NON-R
RM1100,BS001,48.0,,BASE,,,,RM,NON-R
RM1102,BS503,73.0,2026-03-19,BASE,53.0,2026-03-19,,RM,NON-R
RM1202,CMB3,168.0,,COMBO,,,,RM,REACH
RM9803,X- PG MIX (1/100) VL KBLB,152.0,,PIGMENT MIX,,,,PG,REACH
RM9802,X- PG MIX (1/100) VL KBLR,152.0,,PIGMENT MIX,,,,PG,REACH
